Employee_ID,Job_Title,Gender,Age,Education_Level,Years_of_Experience,Years_of_Tenure,Salary
Software Engineer_36,Software Engineer,Male,26,Bachelor's,2,2,"$10,210.43"
Software Engineer_37,Software Engineer,Male,30,Bachelor's,3,2,"$11,903.49"
Software Engineer_38,Software Engineer,Male,29,Diploma,0,0,"$9,012.75"
Software Engineer_39,Software Engineer,Male,28,Diploma,0,0,"$8,410.93"
Software Engineer_40,Software Engineer,Female,25,Bachelor's,1,1,"$10,391.09"
Software Engineer_41,Software Engineer,Female,27,Bachelor's,3,3,"$10,292.63"
Software Engineer_42,Software Engineer,Female,30,Bachelor's,5,2,"$10,697.88"
Software Engineer_43,Software Engineer,Female,30,Bachelor's,2,1,"$10,360.35"
Software Engineer_44,Software Engineer,Male,27,Bachelor's,3,1,"$10,164.87"
Software Engineer_45,Software Engineer,Female,24,Diploma,1,1,"$10,435.91"
Software Engineer_46,Software Engineer,Male,28,Bachelor's,4,4,"$10,894.21"
Software Engineer_47,Software Engineer,Male,26,Bachelor's,4,2,"$11,366.76"
Software Engineer_48,Software Engineer,Female,29,Bachelor's,1,0,"$10,934.70"
Software Engineer_49,Software Engineer,Male,29,Diploma,5,2,"$10,268.85"
Software Engineer_50,Software Engineer,Male,29,Diploma,5,5,"$11,590.55"
Software Engineer_51,Software Engineer,Male,28,Bachelor's,4,3,"$9,977.39"
Software Engineer_52,Software Engineer,Female,24,Diploma,0,0,"$8,669.05"
Software Engineer_53,Software Engineer,Female,29,Bachelor's,5,0,"$10,723.43"
Software Engineer_54,Software Engineer,Male,27,Bachelor's,5,0,"$11,404.44"
Software Engineer_55,Software Engineer,Male,27,Bachelor's,3,1,"$10,715.29"
Software Engineer_56,Software Engineer,Male,30,Bachelor's,4,0,"$11,456.62"
Software Engineer_57,Software Engineer,Female,30,Diploma,0,0,"$8,380.45"
Software Engineer_58,Software Engineer,Female,24,Diploma,1,1,"$10,177.24"
Software Engineer_59,Software Engineer,Female,30,Bachelor's,1,0,"$10,271.41"
Software Engineer_60,Software Engineer,Female,29,Diploma,5,1,"$9,689.74"
Software Engineer_61,Software Engineer,Male,28,Diploma,4,0,"$9,455.56"
Software Engineer_62,Software Engineer,Female,30,Master's,1,0,"$10,662.50"
Software Engineer_63,Software Engineer,Female,29,Master's,2,0,"$9,703.38"
Software Engineer_64,Software Engineer,Female,26,Bachelor's,4,2,"$9,779.39"
Software Engineer_65,Software Engineer,Male,30,Bachelor's,5,0,"$11,089.03"
Software Engineer_66,Software Engineer,Male,25,Diploma,5,2,"$9,618.31"
Software Engineer_67,Software Engineer,Male,23,Bachelor's,1,0,"$9,509.68"
Software Engineer_68,Software Engineer,Female,27,Bachelor's,4,2,"$10,665.19"
Software Engineer_69,Software Engineer,Male,30,Bachelor's,1,1,"$10,924.35"
Software Engineer_70,Software Engineer,Male,29,Diploma,3,1,"$8,947.54"
Software Engineer_71,Software Engineer,Male,29,Bachelor's,1,0,"$9,948.52"
Software Engineer_72,Software Engineer,Female,27,Diploma,5,2,"$9,628.10"
Software Engineer_73,Software Engineer,Female,28,Bachelor's,1,1,"$9,269.22"
Software Engineer_74,Software Engineer,Female,29,Bachelor's,2,0,"$10,910.00"
Software Engineer_75,Software Engineer,Male,27,Bachelor's,5,1,"$10,663.09"
Software Engineer_76,Software Engineer,Female,28,Diploma,5,1,"$10,304.08"
Software Engineer_77,Software Engineer,Male,26,Bachelor's,2,0,"$10,160.20"
Software Engineer_78,Software Engineer,Female,28,Bachelor's,5,1,"$10,566.65"
Software Engineer_79,Software Engineer,Female,26,Bachelor's,3,2,"$11,057.56"
Software Engineer_80,Software Engineer,Male,29,Bachelor's,3,3,"$9,751.66"
Software Engineer_81,Software Engineer,Female,22,Diploma,2,2,"$10,605.22"
Software Engineer_82,Software Engineer,Female,29,Diploma,4,3,"$11,252.42"
Software Engineer_83,Software Engineer,Male,29,Bachelor's,3,3,"$11,003.80"
Software Engineer_84,Software Engineer,Female,30,Diploma,0,0,"$9,005.34"
Software Engineer_85,Software Engineer,Female,25,Bachelor's,2,1,"$10,950.63"
Software Engineer_86,Software Engineer,Male,30,Bachelor's,1,1,"$11,394.12"
Software Engineer_87,Software Engineer,Female,29,Bachelor's,4,0,"$10,096.94"
Software Engineer_88,Software Engineer,Female,27,Diploma,5,5,"$10,748.77"
Software Engineer_89,Software Engineer,Female,30,Bachelor's,4,0,"$10,264.72"
Software Engineer_90,Software Engineer,Female,27,Bachelor's,4,4,"$10,627.33"
Software Engineer_91,Software Engineer,Female,29,Diploma,1,1,"$8,502.34"
Software Engineer_92,Software Engineer,Female,26,Diploma,0,0,"$10,118.72"
Software Engineer_93,Software Engineer,Male,29,Diploma,1,1,"$9,945.58"
Software Engineer_94,Software Engineer,Male,22,Diploma,2,0,"$9,288.22"
Software Engineer_95,Software Engineer,Female,29,Bachelor's,5,5,"$10,867.23"
Software Engineer_96,Software Engineer,Male,30,Diploma,2,2,"$10,269.93"
Software Engineer_97,Software Engineer,Female,30,Bachelor's,5,1,"$10,850.28"
Software Engineer_98,Software Engineer,Male,27,Bachelor's,5,1,"$10,646.08"
Software Engineer_99,Software Engineer,Male,27,Bachelor's,2,2,"$10,945.04"
Software Engineer_100,Software Engineer,Male,29,Bachelor's,5,4,"$10,950.07"
Data Scientist_1,Data Scientist,Male,28,Diploma,2,0,"$8,139.86"
Data Scientist_2,Data Scientist,Female,24,Bachelor's,0,0,"$9,278.99"
Data Scientist_3,Data Scientist,Male,29,Bachelor's,3,1,"$9,110.77"
Data Scientist_4,Data Scientist,Male,29,Bachelor's,5,4,"$9,236.49"
Data Scientist_5,Data Scientist,Female,29,Bachelor's,1,0,"$9,632.34"
Data Scientist_6,Data Scientist,Male,29,Bachelor's,0,0,"$9,176.27"
Data Scientist_7,Data Scientist,Male,25,Diploma,4,4,"$9,032.24"
Data Scientist_8,Data Scientist,Male,27,Diploma,0,0,"$7,881.77"
Data Scientist_9,Data Scientist,Female,26,Bachelor's,0,0,"$9,084.88"
Data Scientist_10,Data Scientist,Female,27,Master's,3,3,"$10,809.54"
Data Scientist_11,Data Scientist,Female,29,Bachelor's,4,2,"$9,442.60"
Data Scientist_12,Data Scientist,Female,28,Master's,2,2,"$10,946.11"
Data Scientist_13,Data Scientist,Female,26,Diploma,3,1,"$8,868.71"
Data Scientist_14,Data Scientist,Male,23,Diploma,0,0,"$8,160.43"
Data Scientist_15,Data Scientist,Male,30,Bachelor's,3,2,"$9,189.21"
Data Scientist_16,Data Scientist,Female,27,Bachelor's,4,0,"$9,215.44"
Data Scientist_17,Data Scientist,Male,27,Bachelor's,3,1,"$9,186.01"
Data Scientist_18,Data Scientist,Female,30,Bachelor's,0,0,"$8,098.19"
Data Scientist_19,Data Scientist,Male,25,Diploma,2,0,"$8,634.73"
Data Scientist_20,Data Scientist,Female,29,Bachelor's,4,1,"$10,495.80"
Data Scientist_21,Data Scientist,Female,29,Bachelor's,5,2,"$9,480.66"
Data Scientist_22,Data Scientist,Male,29,Master's,2,2,"$9,506.03"
Data Scientist_23,Data Scientist,Female,29,Bachelor's,5,3,"$10,959.48"
Data Scientist_24,Data Scientist,Male,27,Diploma,0,0,"$8,838.08"
Data Scientist_25,Data Scientist,Male,28,Bachelor's,4,1,"$9,442.22"
Data Scientist_26,Data Scientist,Female,30,Bachelor's,4,2,"$8,628.31"
Data Scientist_27,Data Scientist,Female,30,Bachelor's,5,0,"$10,018.65"
Data Scientist_28,Data Scientist,Male,25,Diploma,5,4,"$9,994.15"
Data Scientist_29,Data Scientist,Male,30,Diploma,2,1,"$8,534.69"
Data Scientist_30,Data Scientist,Female,29,Bachelor's,5,4,"$9,244.84"
Data Scientist_31,Data Scientist,Female,25,Bachelor's,2,1,"$9,400.33"
Data Scientist_32,Data Scientist,Female,24,Diploma,1,1,"$9,004.05"
Data Scientist_33,Data Scientist,Male,28,Master's,4,2,"$10,531.07"
Data Scientist_34,Data Scientist,Male,30,Bachelor's,5,0,"$9,957.06"
Data Scientist_35,Data Scientist,Male,27,Bachelor's,4,0,"$10,021.23"
Data Scientist_36,Data Scientist,Female,27,Diploma,1,0,"$8,720.82"
Data Scientist_37,Data Scientist,Male,25,Bachelor's,0,0,"$9,371.27"
Data Scientist_38,Data Scientist,Female,26,Diploma,1,1,"$9,119.54"
Data Scientist_39,Data Scientist,Male,25,Bachelor's,2,1,"$8,996.47"
Data Scientist_40,Data Scientist,Male,26,Bachelor's,0,0,"$8,540.00"
Data Scientist_41,Data Scientist,Female,28,Bachelor's,1,0,"$8,758.86"
Data Scientist_42,Data Scientist,Male,22,Diploma,0,0,"$8,667.06"
Data Scientist_43,Data Scientist,Female,29,Bachelor's,0,0,"$8,823.84"
Data Scientist_44,Data Scientist,Male,29,Bachelor's,1,0,"$8,971.37"
Data Scientist_45,Data Scientist,Male,28,Diploma,2,1,"$8,464.29"
Data Scientist_46,Data Scientist,Male,29,Master's,1,0,"$9,739.06"
Data Scientist_47,Data Scientist,Female,26,Diploma,1,0,"$8,318.95"
Data Scientist_48,Data Scientist,Male,24,Bachelor's,0,0,"$7,609.04"
Data Scientist_49,Data Scientist,Male,26,Bachelor's,2,1,"$8,624.24"
Data Scientist_50,Data Scientist,Female,30,Diploma,5,2,"$8,722.51"
Product Manager_1,Product Manager,Female,30,Bachelor's,0,0,"$10,621.15"
Product Manager_2,Product Manager,Female,23,Diploma,2,2,"$9,648.29"
Product Manager_3,Product Manager,Female,25,Bachelor's,0,0,"$10,011.20"
Product Manager_4,Product Manager,Male,30,Bachelor's,0,0,"$9,766.84"
Product Manager_5,Product Manager,Female,23,Diploma,2,2,"$9,592.63"
Product Manager_6,Product Manager,Male,30,Diploma,3,0,"$9,817.54"
Product Manager_7,Product Manager,Female,29,Diploma,2,1,"$9,242.95"
Product Manager_8,Product Manager,Male,26,Bachelor's,4,3,"$10,048.42"
Product Manager_9,Product Manager,Female,28,Bachelor's,5,5,"$10,911.45"
Product Manager_10,Product Manager,Male,27,Diploma,1,1,"$10,176.94"
Product Manager_11,Product Manager,Male,26,Diploma,4,0,"$10,013.54"
Product Manager_12,Product Manager,Male,24,Bachelor's,0,0,"$10,425.14"
Product Manager_13,Product Manager,Female,28,Bachelor's,1,1,"$10,694.92"
Product Manager_14,Product Manager,Male,23,Diploma,3,0,"$9,565.88"
Product Manager_15,Product Manager,Female,27,Diploma,4,4,"$10,371.39"
Product Manager_16,Product Manager,Female,28,Bachelor's,0,0,"$9,927.83"
Product Manager_17,Product Manager,Female,29,Bachelor's,0,0,"$9,843.18"
Product Manager_18,Product Manager,Female,30,Bachelor's,0,0,"$9,728.39"
Product Manager_19,Product Manager,Female,24,Diploma,4,2,"$10,661.27"
Product Manager_20,Product Manager,Female,29,Bachelor's,5,0,"$10,499.09"
Product Manager_21,Product Manager,Male,29,Diploma,2,1,"$9,442.36"
Product Manager_22,Product Manager,Male,25,Bachelor's,2,1,"$9,958.21"
Product Manager_23,Product Manager,Female,26,Bachelor's,4,4,"$12,440.80"
Product Manager_24,Product Manager,Male,30,Diploma,5,2,"$10,493.37"
Product Manager_25,Product Manager,Male,25,Diploma,2,0,"$9,512.80"
Product Manager_26,Product Manager,Female,26,Bachelor's,4,2,"$9,486.63"
Product Manager_27,Product Manager,Female,30,Bachelor's,1,0,"$10,288.59"
Product Manager_28,Product Manager,Male,28,Diploma,5,2,"$10,239.38"
Product Manager_29,Product Manager,Female,25,Diploma,1,1,"$9,588.56"
Product Manager_30,Product Manager,Female,30,Bachelor's,3,1,"$10,925.86"
